,text
185.0,"There is something about the language used or the voice of the characters that makes me think the setting of this book is more modern/contemporary than it should be. I found that somewhat distracting but still enjoyed the story and the race against time to solve the murders and find an ancient, mythical artifact. I think I'd read another in the series. Although, wouldn't it have been so much cooler if the heroine, who managed to rescue herself from a horrific and traumatic experience seven years prior, had rescued herself at the end of this adventure too ? That would have gotten this book at least one more star."
598.0,"This is the best book I've read in a really really long time. I could feel myself slipping into a reading slump and I'm so thankful I picked this book up when I did because it managed to engage me like no other book I've read in a seriously long time. The best thing about this book is that it's so completely unique and different than anything I've ever read. Usually, I'm always drawing connections in my mind between books while I'm reading but this book really created a world of its own. I had absolutely no idea where the plot was headed or how things would resolve and I didn't see any of the plot twists coming, which is really rare for me because I've found that lately I usually always can tell where books are headed and see the plot twists coming before the main character. Despite the very dark tone of this book, Sabaa Tahir's writing style is so elegant and the themes and characters in this book were so beautiful."
650.0,"I remember the moment in 1988 when my beloved aunt mentioned the book to me, saying it had a lot to think about. Now, thousands of miles and decades away, reading this feels like an anthropological dig, but the book is worth the read because of the excellent writing and the plausible plot. The way the government is overthrownaken is disturbingly realistic, a sort of Jade Helms led by Jesse Helms and Pat Robertson, the handmaid ends up living with Jimmy Swaggart and Tammy Faye Bakker, and the executions are tribal rituals. Hallelujah."
638.0,"I felt like there were a lot of missed oppertunities in this book. Overall, I just didn't like the direction she chose for the ending of this series. I was nervous when I picked it up and saw how short it was, but I thought that maybe because it was so short it would be action packed, but I felt like NOTHING happened in this book. It was hard for me to stay invested in this series, and I feel like I may have enjoyed the series more as a whole if I marathoned it instead of waiting for each book and reading them as soon as they released. I just felt like this was a really anti-climactic way to end a series about an anti-hero that had so much potential. This is definitely one series where I just disagree with the hype."
210.0,"Roberts hits all the right notes in her latest romantic suspense, in which Bodine Longbow- head of her family's lucrative ranch and resort- stumbles across the body of the local bartender. She and her new employee (and old crush) Callen Skinner begin to suspect that a killer is making himself at home in their small Montana town, and a mystery from her family's past might hold the key to revealing his identity. Readers will find all the characters engaging and well formed, and the emotional ties- whether familial, friendly, or romantic- are realistic and enviable. Even the setting is three dimensional and seems to entice fans to plan a visit- after the killer is caught and happily ever after is achieved, of course! Special thanks to St. Martin's Press for the providing this in exchange for an honest review."
132.0,"A good read but definitely my least favorite Mistborn novel. I have really come to care for these characters (in particular I love Steris with an unholy love) and their relationships to each other and there were definitely some cool concepts/plot twists but I also found the book way too action heavy and the third act ""twist"" involving a certain character's behavior/alliances didn't pack the emotional punch for me I think Sanderson wanted it to. There was so much interesting information about the politics of Elendel in the last volume, I really missed that this time around. I feel like the other Mistborn books all have a lot more going on then what is essentially a quest for magical artifact/heist narrative. I still look forward to how Sanderson is going to wrap up this installment of the Mistborn saga in the next book."
5.0,"Awesome as usually the case with this author. What I loved most about this book was how morally complex it was. As terrible as North Carolina's eugenics program was, I can see how even well intentioned people could have designed and implemented it. Chamberlain eschewed melodrama and avoided painting characters as two-dimensional heroes and villains. She did a great job creating distinctive narrative voices for Ivy and Jane as well. Pretty much impossible to put down once you start."
514.0,"I do not normally like historical fiction, but this beautiful work is artful and insightful. The pace of the writing and the glimpses of life in revolutionary England and Belgium feel very real and alive, like a Merchant and Ivory movie or an old BBC Masterpiece Theater piece. And the portrait of Margaret of Cavendish, Duchess of Newcastle, her experiences, her thinking and her writing are poignantly expressed in elegant, thoughtful sketches. I am also reading Daniel Boorstin's The Discoverers and the personages in Stuart England and the age of Newton also show up here, coming delightfully alive. This is going on my favorites list."
592.0,"One of the most amazing things about this book was that in spite of knowing the ending, it was suspenseful through and through. The second amazing thing is that it explained rowing to someone who had no clue (me) and little interest in sports in such a way that it was clear but not too much. The story of the road to the Olympics is told mostly from the perspective of Joe Rantz;however, as he requested, it is told in the context of ""the boat""--more than the shell that they propelled with oars, ""the boat"" is the spirit of the team working together in perfect harmony. The physical boat too is a character, and Pocock, its maker, stands out as one filled with wisdom about people as well as rowing and boat building. The story is told in the context of the Depression, the Dust Bowl, and the drums of encroaching World War II. Joe's surmounting of personal struggles as well as economic is admirable."
607.0,"Many of these stories are effused with the lingering emotional aftermath of the unspoken war just ended. An ineffable sense of mourning plays through the words and actions of broken or confused ex-soldiers interacting with untouched civilians. Other stories carry a long melancholic nostalgia for childhood innocence, or a just a nostalgic melancholy, with small jokes and odd details to lighten the mood, a contrast of adult versus child, a crushed innocence. I very much liked the fact that the book cover is exactly the same design as the one that sat on my father's shelf when I was a boy, thus invoking in me my own melancholic nostalgia."
