,TRUE,pred,wrong,text
564,3,2,1,"I was gonna give this book 3 stars, but I decided on 2 because justifying attempted rape is never o.k. I felt like this book set out to be one of those deep, pretentious books that set out to give you life lessons. I will admit that it did a good job of not being pretentious. It was extremely emotionally manipulative, however."
93,2,2,0,"I liked it a lot, but it doesn't really stand alone; it's too much of a setup for what I assume are going to be Rose's later emotional discoveries. I'm very impressed by Rose, though, and would like to follow her further!"
185,3,4,1,"There is something about the language used or the voice of the characters that makes me think the setting of this book is more modern/contemporary than it should be. I found that somewhat distracting but still enjoyed the story and the race against time to solve the murders and find an ancient, mythical artifact. I think I'd read another in the series. Although, wouldn't it have been so much cooler if the heroine, who managed to rescue herself from a horrific and traumatic experience seven years prior, had rescued herself at the end of this adventure too ? That would have gotten this book at least one more star."
598,4,4,0,"This is the best book I've read in a really really long time. I could feel myself slipping into a reading slump and I'm so thankful I picked this book up when I did because it managed to engage me like no other book I've read in a seriously long time. The best thing about this book is that it's so completely unique and different than anything I've ever read. Usually, I'm always drawing connections in my mind between books while I'm reading but this book really created a world of its own. I had absolutely no idea where the plot was headed or how things would resolve and I didn't see any of the plot twists coming, which is really rare for me because I've found that lately I usually always can tell where books are headed and see the plot twists coming before the main character. Despite the very dark tone of this book, Sabaa Tahir's writing style is so elegant and the themes and characters in this book were so beautiful."
563,2,2,0,"This book is all about female empowerment while also tackling many subjects such as racism, stereotyping, and sexuality. Seriously, it covers EVERYTHING. Feminism ftw. I like how it doesn't take itself too seriously though."
181,3,3,0,Well.....I liked the story and the personality of the characters. I loved how Alice brought everyone together. I also loved the unconventional family that she brought together. My only beef and it is only me because this is just a personal preference is that when I read I like more masculine leads with m/m. Rue and Erik were not my normal leads choice but the story was still sweet and I will read the next one to find out what happens next. I did love the quirkiness of Erik and how he over came so many challenges to finally be free of his own demons so he could find love.
650,3,4,1,"I remember the moment in 1988 when my beloved aunt mentioned the book to me, saying it had a lot to think about. Now, thousands of miles and decades away, reading this feels like an anthropological dig, but the book is worth the read because of the excellent writing and the plausible plot. The way the government is overthrownaken is disturbingly realistic, a sort of Jade Helms led by Jesse Helms and Pat Robertson, the handmaid ends up living with Jimmy Swaggart and Tammy Faye Bakker, and the executions are tribal rituals. Hallelujah."
235,2,2,0,Short but a very nice introduction to the book series. I actually really quite enjoyed it a lot! I thought it was nice that the main character was gay and I like how the rest of the story is set up in this 'foundation'.
28,2,2,0,"I have read every Outlander novel multiple times, and this one I read the least. Not because it's not excellent, but because it rips my heart out EVERY SINGLE TIME! Oh, it could all bed the King, or make men cover with a single White Lady glare."
614,3,2,1,"** spoiler alert ** I equally loved book 2, and am definitely hooked. I did feel it took a little while for them to get to sea, but I guess we can't bring in a love interest if we aren't on the land! My favorite thing by far was the Lively, and the descriptions of how fast she is and how much care the crew took keeping her a crack ship. Pride in what you do can be a great motivator. I also loved how Jack made them work the guns against all the batteries for practice."
