text,stalebi,zhossainzadeh,adjudicated
"One of the most enjoyable stories I've read in some time. Captain Jack Aubrey was a fascinating character. You just wanted him to succeed - to capture the Spanish vessel, to gain the respect of his men, to gain the respect of the Admiral. The book is set during the Napoleonic Wars, and it was interesting to see all the Kings ships were nothing but glorified pirates, capturing all vessels they could on the open seas. The book also strongly reminded me of my sailing lessons from last summer - I still had to look a lot of words up, but I remembered ones like leeward and abeam. Makes me want to go sailing!",4,4,4
"A hilarious and book from Tina Fey - definitely worth listening to over audio as she reads it herself. She makes fun of herself a lot, adds lots of light humor, and of course shares TMI. The most interesting bit was hearing the behind the scenes of Saturday Night Live, and how she was a joke writer there for 3 years before they gave her a role on the show, which was only doing the news. Her breakout occurred after she had already left for 30 Rock, when she did the Sarah Palin impersonation. Tina is clearly an example of someone who has worked long and hard to get where she is.",4,3,4
Highly recommended if you are curious about Manic-depressive disease. A fascinating and even very well written insight from a woman who is both a Psychiatrist who treats it and suffers from it. She was very brave and very poetic in writing this book.,4,3,3
"This story had so much promise! And I love Whitney G. 's writing style; in fact, Turbulence was one of my favorite books this year. This was a cute, fast read BUT several typos later and a heroine who sends sexually explicit emails from her work account and I'm out. Moving on with high hopes for this author's next book. Call me an eternal optimist.",4,3,4
"Another warm, romantic and totally hot story! I have a confession: I am addicted to Alexa Riley's books! They are quick, sexy, and always well-written. The heroes are devoted to their women and the heroines love every second of it. There's always a HEA in the world of Alexa Riley!",4,3,4
"Seriously, Skye Warren can pack more feeling and vivid description into a short story than some authors can in 350 pages. I immediately connected with the lovely young Erin and the object of her desire, Mr. Blake Morris. This wonderful, short erotic story is a total turn-on but is very touching at the same time. Read it, you will absolutely love this sweet and steamy story. Beauty Touched the BeastSkye Warren",4,3,4
"I was surprised at how much I liked this book because I don't usually gravitate towards science fiction. It wasn't perfect, but I did overall really enjoy it! I was pleasantly surprised in the fact that for a male writer, Yancey writes in the female perspective very well--and he writes some pretty kick ass female characters, so if you appreciate that as much as I do, check this book out. The only thing I didn't like about it was the fact that a lot of the characters were so emotionally detached. None of the feelings seemed genuine, and the characters barely mourned at all over the deaths of their loved ones. It was mostly about action--a lot of times in an in your face and blunt way--not so much about feelings.",4,3,4
"I have endless respect and admiration for David Levithan. His books are so meaningful and so beautiful. I loved getting to see a different perspective on Every Day, since it was one of the most thought-provoking books I've ever read. While this book wasn't quite as perfect as the original (and I never expected it to be), Rhiannon's POV still proved to be insightful and was written with the same literary excellence. I will say that I was uncomfortable with the amount of infidelity in this book, because I don't believe that cheating on a partner is ever really justified. I think now more than ever, I really need the sequel to A's story.",4,3,4
"Absolutely captivating. Once you begin reading, you won't be able to put it down. One tells the story of a set of conjoined twins who, against all odds, have made it into their teens. Homeschooled for their entire lives, hard times have forced the family to send them to public school for the first time. The fact that One is written completely in free verse poetry adds power and emotion to the story and pulls the reader in. One tells a heartbreaking but important story of acceptance and love that is perfect for fans of The Fault in Our Stars, If I Stay, and All the Bright Places.",4,3,4
"This book was everything I could have wanted from one of Anderson's books and more! It was written in incredibly captivating and melodic prose. There were lines and pages that made me stop and close the book and just sit in awe of how amazing her writing was. The plot and the concept of the story was as heartbreaking as Speak and Wintergirls, but as always Anderson's characters are strong, resilient, witty-- the kind of characters you root for. I definitely would recommend this book to any fan of realistic fiction!",4,3,4
